Date,Day,Time (WIB),Feed Type,Volume/Duration,Logged by,Pipis,Pup
24-Mar,15,02:40,Sufor,60ml,Ibu,,
24-Mar,15,04:35,Sufor,60ml,Ibu,,
24-Mar,15,07:50,DBF,15 min,Ayah,,
24-Mar,15,08:40,ASIP,30ml,Ayah,,
24-Mar,15,10:40,DBF,15 min,Ibu,,
24-Mar,15,12:00,DBF,20 min,Ayah,,
24-Mar,15,14:00,ASIP,70ml,Ibu,,
24-Mar,15,14:40,DBF,30 min,Ibu,,
24-Mar,15,15:52,ASIP,38ml,Ibu,,
24-Mar,15,18:07-18:40,DBF,33 min,Ibu,,
24-Mar,15,18:45,ASIP,35ml,Ibu,,
24-Mar,15,19:05,Sufor,60ml,Ayah,,
24-Mar,15,22:35,Sufor,60ml,Ibu,,
24-Mar,15,23:58,Sufor,60ml,Ayah,,
Day 24 Summary,15,—,Total Feeds,14,—,6,3
,15,—,Total Intake,~1010-1154ml,—,✅,✅
25-Mar,16,03:00,Sufor,60ml,Ibu,,
25-Mar,16,03:05,Sufor,60ml,Ibu,,
25-Mar,16,06:35,ASIP,65ml,Ayah,,
Day 25 Summary,16,—,Partial Data,3 feeds,—,—,—
26-Mar,17,02:00,Sufor,90ml,Ibu,,
26-Mar,17,05:30,ASIP,65ml,Ibu,,
26-Mar,17,08:00,Sufor,60ml,Ibu,,
26-Mar,17,10:40,Sufor,120ml,Ibu,,
26-Mar,17,14:30,Sufor,60ml,Ibu,,
26-Mar,17,15:10,Sufor,60ml,Ibu,,
26-Mar,17,16:30-17:15,DBF,45 min,Ayah,,
26-Mar,17,19:30-20:25,DBF,55 min,Ayah,,
Day 26 Summary,17,—,Total Feeds,8,—,6,3
,17,—,Total Intake,~1003-1156ml,—,✅,✅
27-Mar,19,01:40,Sufor,60ml,Ibu,,
27-Mar,19,04:20,Sufor+ASIP,60ml+30ml,Ibu,,
27-Mar,19,08:40,ASIP,90ml,Ayah,,
27-Mar,19,09:10,Sufor,30ml,Ayah,,
27-Mar,19,11:40,DBF,30 min,Ayah,,
27-Mar,19,13:20,DBF,30 min,Ayah,,
27-Mar,19,15:30,ASIP,90ml,Ayah,,
27-Mar,19,17:00,Sufor,60ml,Ayah,,
27-Mar,19,19:00,ASIP,40ml,Ayah,,
27-Mar,19,19:45,Sufor,30ml,Ayah,,
Day 27 Summary,19,—,Total Feeds,10,—,7,3
,19,—,Total Intake,~500-550ml,—,✅✅,✅
OVERALL SUMMARY,15-19,—,4-Day Stats,—,—,—,—
Total Feeds,—,—,35,—,—,—,—
Average per Day,—,—,~8.75,—,—,—,—
Total Intake,—,—,~3800-4200ml,—,—,—,—
Weight Birth,—,—,3200g,—,—,—,—
Weight Day 14,—,—,3375g,—,—,—,—
Daily Gain Rate,—,—,~29.5g/day,—,—,—,—
